Question ID,Question Text,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Concept,Difficulty,Discrimination,Guessing Probability
58,"Consider the problem of reversing a singly linked list. To take an example, given the linked list below,&nbsp;the reversed linked list should look like&nbsp;Which one of the following statements is TRUE about the time complexity of algorithms that solve the above problem in O(1) space?",The best algorithm for the problem takes&nbsp;[Tex]\theta (n)&nbsp;&nbsp;&nbsp;&nbsp;[/Tex]&nbsp;time in the worst case,The best algorithm for the problem takes&nbsp;[Tex]\theta(nlogn)&nbsp;&nbsp;&nbsp;&nbsp;[/Tex]&nbsp;time in the worst case.&nbsp;,The best algorithm for the problem takes&nbsp;[Tex]\theta(n^{2})&nbsp;&nbsp;&nbsp;&nbsp;[/Tex]&nbsp;time in the worst case,It is not possible to reverse a singly linked list in O(1) space.&nbsp;,A,"Reversing a linked list only requires one traversal of entire linked list of N elements and Change the appropriate Pointers. The Time complexity is&nbsp;Θ(n).So, option A is the correct answer.&nbsp;",Linked List,Medium,High,0.25
59,"Consider the queues Q1 containing four elements and Q2 containing none (shown as the Initial State in the figure). The only operations allowed on these two queues are Enqueue(Q, element) and Dequeue(Q). The minimum number of Enqueue operations on Q1 required to place the elements of Q1 in Q2 in reverse order (shown as the Final State in the figure) without using any additional storage is___________.&nbsp;",12,9,4,0,D,"Understanding the Operation usedEnq(Qx, Deq(Qy)) means that we dequeue an element from the queue Qy and enqueue an element into the queue Qx.The operation does not take any extra space as the value returned from one function is immediately passed as an argument to another function. Remember that a function's return value and arguments are stored in the function stack frame, so no extra space is taken, i.e. space to keep this data is included in the function-call/operation itself.Solution StepsThis question can be solved by following the given set of instructions :Step No.OperationState of Queues (after performing the operation)0.-Original State1.Enq(Q2, Deq(Q1))&nbsp;2.Enq(Q2, Deq(Q1))&nbsp;3.Enq(Q2, Deq(Q2))&nbsp;4.Enq(Q2, Deq(Q1))&nbsp;5.Enq(Q2, Deq(Q2))&nbsp;6.&nbsp;Enq(Q2, Deq(Q2))&nbsp;7.Enq(Q2, Deq(Q1))&nbsp;8.Enq(Q2, Deq(Q2))&nbsp;9.Enq(Q2, Deq(Q2))&nbsp;10.Enq(Q2, Deq(Q2))Solution StateThe minimum number of Enqueue operations on Q1 required to place the elements of Q1 in Q2 in reverse order (shown as the Final State in the figure) without using any additional storage is 0.",Linked List,Hard,High,0.25
60,"Find the functionality of the given code-
        C++
        
        void function(int data)
{
    int flag = 0;
    if (head != null) {
        Node temp = head.getNext();
        while ((temp != head)
               &amp;&amp; (!(temp.getItem() == data))) {
            temp = temp.getNext();
            flag = 1;
            break;
        }
    }
    if (flag)
        System.out.println(&quot;success&quot;);
    else
        System.out.println(&quot;fail&quot;);
}",Print success if a particular element is not found,Print fail if a particular element is not found,Print success if a particular element is equal to 1,Print fail if the list is empty,D,"The function checks if the linked list is empty. If it is, it will print ""fail.""If the list is not empty, it checks the first node. If the first node's item does not match the data, it will print ""success"" due to the break statement, which is misleading because it suggests a match was found when it wasn't.Therefore, ""Print fail if a particular element is not found"" is not accurate because it only checks the first element and the output can be misleading.So, the most appropriate answer reflecting the functionality of the code is ""Print fail if the list is empty.""",Linked List,Medium,Medium,0.25
61,What is the time complexity of searching for an element in a circular linked list?,O(n),O(nlogn),O(1),O(n2),A,"In the worst case, you have to traverse through the entire list of n elements.",Linked List,Easy,Low,0.25
62,Choose the code snippet which inserts a node to the head of the list?,public void insertHead(int data){Node temp = new Node(data);Node cur = head;while(cur.getNext() != head)&nbsp;cur = cur.getNext()if(head == null){&nbsp;head = temp;&nbsp;head.setNext(head);}else{&nbsp;temp.setNext(head);&nbsp;head = temp;&nbsp;cur.setNext(temp);}size++;}&nbsp;,public void insertHead(int data){Node temp = new Node(data);while(cur != head)&nbsp;cur = cur.getNext()if(head == null){&nbsp;head = temp;&nbsp;head.setNext(head);}else{&nbsp;temp.setNext(head.getNext());&nbsp;cur.setNext(temp);}size++;},public void insertHead(int data){Node temp = new Node(data);if(head == null){&nbsp;head = temp;&nbsp;head.setNext(head);}else{&nbsp;temp.setNext(head.getNext());&nbsp;head = temp;}size++;},public void insertHead(int data){Node temp = new Node(data);if(head == null){&nbsp;head = temp;&nbsp;head.setNext(head.getNext());}else{&nbsp;temp.setNext(head.getNext());&nbsp;head = temp;}size++;},A,"If the list is empty make the new node as ‘head’, otherwise traverse the list to the end and make its ‘next’ pointer point to the new node, set the new node’s next point to the current head and make the new node as the head.",Linked List,Medium,High,0.25
63,"What is the functionality of the following code? Choose the most appropriate answer.
        C++
        
        int function()
{
    if (head == null)
        return Integer.MIN_VALUE;
    int var;
    Node temp = head;
    while (temp.getNext() != head)
        temp = temp.getNext();
    if (temp == head) {
        var = head.getItem();
        head = null;
        return var;
    }
    temp.setNext(head.getNext());
    var = head.getItem();
    head = head.getNext();
    return var;
}",Return data from the end of the list,Returns the data and deletes the node at the end of the list,Returns the data from the beginning of the list,Returns the data and deletes the node from the beginning of the list,D,"First traverse through the list to find the end node, then manipulate the ‘next’ pointer such that it points to the current head’s next node, returns the data stored in the head and make this next node as the head.Hence Option(D) is the correct answer.",Linked List,Hard,High,0.25
64,Consider a small circular linked list. How to detect the presence of cycles in this list effectively?,Keep one node as head and traverse another temp node till the end to check if its ‘next points to head,Have fast and slow pointers with the fast pointer advancing two nodes at a time and slow pointer advancing by one node at a time,"Cannot determine, you have to pre-define if the list contains cycles",Circular linked list itself represents a cycle. So no new cycles cannot be generated,B,Advance the pointers in such a way that the fast pointer advances two nodes at a time and slow pointer advances one node at a time and check to see if at any given instant of time if the fast pointer points to slow pointer or if the fast pointer’s ‘next’ points to the slow pointer. This is applicable for smaller lists.Below is the implementation of the above approach: bool isCircular() {        if (head == nullptr) {            return false;        }        Node* slow = head;        Node* fast = head-&gt;next;        while (fast != nullptr &amp;&amp; fast-&gt;next != nullptr) {            if (slow == fast) {                return true;            }            slow = slow-&gt;next;            fast = fast-&gt;next-&gt;next;        }        return false;    }Hence (B) is the correct answer.,Linked List,Medium,High,0.25
65,Which of the following application makes use of a circular linked list?,Undo Operation,Recursive function calls,Allocating CPU to resources,Implement Hash Tables,C,"Applications of circular linked lists:Multiplayer games use this to give each player a chance to play.A circular linked list can be used to organize multiple running applications on an operating system. These applications are iterated over by the OS.Circular linked lists can be used in resource allocation problems.Circular linked lists are commonly used to implement circular buffers,Circular linked lists can be used in simulation and gaming.Hence Option (C) is the correct answer.&nbsp;",Linked List,Easy,Low,0.25
66,"In a circular linked list, How many nodes are containing NULL as the address?",Only one node,Only Two node,Every Node,"No, any node",D,"In a circular linked list, there is no any node containing NULL as their address.Circular linked listFollowing are some properties of the circular linked list:&nbsp;A node always points to another node, so NULL assignment is not necessary.Any node can be set as the starting point.Nodes are traversed quickly from the first to the last.Hence Option(D) is the correct answer.",Linked List,Easy,Low,0.25
67,What is the time complexity to insert a node at the beginning of the list?,O(LogN),O(N),O(1),None,C,"To insert a node at the beginning of the Circular linked list, there is no need to traverse the list so it takes constant time.To insert a node at the beginning of the list, follow these steps:&nbsp;Create a node, say T.&nbsp;Make T -&gt; next = last -&gt; next.&nbsp;last -&gt; next = T.&nbsp;Circular linked listAnd then,&nbsp;Circular linked listHence Option(A) is the correct answer.",Linked List,Easy,Low,0.25
68,"Consider the below program, and identify which Operation is performed.
        C++
        
        int solve(struct Node* head)
{
    if (head == NULL)
        return 1;
    struct Node* ptr;
    ptr = head-&gt;next;
    while (ptr != NULL &amp;&amp; ptr != head)
        ptr = ptr-&gt;next;
    return (ptr == head);
}",Checking for List is empty of not,Checking for the list is Circular or not,count the number of elements in the list,None,B,"In the above program, we are just checking whether the linked list is circular or not. The idea is to store the head of the linked list and traverse it. If the iterator reaches NULL, the linked list is not circular. else If it reaches the head again, then the linked list is circular.&nbsp;A linked list is called circular if it is not NULL-terminated and all nodes are connected in the form of a cycle. Below is an example of a circular linked list.&nbsp;Hence (B) is the correct answer.",Linked List,Medium,Medium,0.25
69,Which of the following Statement is correct about Circular Linked List?P1: Every Node has a successor.P2: TIme complexity for deleting the first node is O(N).P3: Last Node points to the NULL.P4: Every Node contains the data and a next pointer to traverse the list.,Only P4,Only P1,P1 and P2,P1 and P4.,D,"In the above statement, P1 and P4 are correct about the linked list.P1: &nbsp;Every Node has a successor node in a circular form.P2: TIme complexity for deleting the first node is O(N). this statement is incorrect because deleting the first node will take O(1) time.P3:Last Node points to the NULL. this statement is also incorrect because the last node points to the first node in a circular linked list.P4: Every Node contains the data and a next pointer to traverse the list., this statement is also correct.Therefore, P1 and P4 are the correct statements.Hence (D) is the correct answer.&nbsp;",Linked List,Medium,Medium,0.25
70,"Following is a pseudo code of a function that takes a number as an argument, and uses a stack S to do processing.  
        Python
        
        def fun(n):
    S = []  # Say it creates an empty stack S
    while n &gt; 0:
        # This line pushes the value of n%2 to stack S
        S.append(n % 2)
        n = n // 2

    # Run while Stack S is not empty
    while S:
        print(S.pop(), end=&#39; &#39;)  # pop an element from S and print it

        
    What does the above function do in general?",Prints binary representation of n in reverse order,Prints binary representation of n,Prints the value of Logn,Prints the value of Logn in reverse order,B,"The given code is recursive method to print binary representation of ‘NUM’.&nbsp;step 1) if NUM &gt; 1    a) push NUM on stack    b) recursively call function with 'NUM / 2'step 2)    a) pop NUM from stack, divide it by 2 and print it's remainder.Read in Detail :  Binary representation of a number for explanation.",Stack,Medium,High,0.25
71,"Consider the following pseudocode that uses a stack&nbsp;
        Python
        
        # Declare a stack of characters
word = &quot;example&quot;  # Replace with the word you want to read
char_stack = []

# While there are more characters in the word to read
for c in word:
    char_stack.append(c)  # Push the character on the stack

# While the stack is not empty
while char_stack:
    c = char_stack.pop()  # Pop a character off the stack
    print(c, end=&#39;&#39;)  # Write the character to the screen

        
    What is output for input ""geeksquiz""?",geeksquizgeeksquiz,ziuqskeeg,geeksquiz,ziuqskeegziuqskeeg,B,"Since the stack data structure follows LIFO order. When we pop() items from stack, they are popped in reverse order of their insertion (or push())",Stack,Easy,Low,0.25
72,"Following is an incorrect pseudocode for the algorithm which is supposed to determine whether a sequence of parentheses is balanced:&nbsp;


        C
        
           declare a character stack 
   while ( more input is available)
   {
      read a character
      if ( the character is a &#39;(&#39; ) 
         push it on the stack
      else if ( the character is a &#39;)&#39; and the stack is not empty )
         pop a character off the stack
      else
         print &quot;unbalanced&quot; and exit
    }
    print &quot;balanced&quot;

        
    

Which of these unbalanced sequences does the above code think is balanced?&nbsp;",((()),())((),(()())),(()))(),B,"At the end of while loop, we must check whether the stack is empty or not. For input ((()), the stack doesn't remain empty after the loop. See http://www.geeksforgeeks.org/check-for-balanced-parentheses-in-an-expression/ for details.",Stack,Medium,High,0.25
73,The following postfix expression with single digit operands is evaluated using a stack:8 2 3 ^ / 2 3 * + 5 1 * -  Note that ^ is the exponentiation operator. The top two elements of the stack after the first * is evaluated are:,"6, 1","5, 7","3, 2","1, 5",A,"The algorithm for evaluating any postfix expression is fairly straightforward: 1. While there are input tokens left    o Read the next token from input.    o If the token is a value       + Push it onto the stack.    o Otherwise, the token is an operator       (operator here includes both operators, and functions).       * It is known a priori that the operator takes n arguments.       * If there are fewer than n values on the stack        (Error) The user has not input sufficient values in the expression.       * Else, Pop the top n values from the stack.       * Evaluate the operator, with the values as arguments.       * Push the returned results, if any, back onto the stack.2. If there is only one value in the stack    o That value is the result of the calculation.3. If there are more values in the stack    o (Error)  The user input has too many values. Source for algorithm:&nbsp;http://en.wikipedia.org/wiki/Reverse_Polish_notation#The_postfix_algorithm  Let us run the above algorithm for the given expression. First three tokens are values, so they are simply pushed. After pushing 8, 2 and 3, the stack is as follows     8, 2, 3 When ^ is read, top two are popped and power(2^3) is calculated     8, 8 When / is read, top two are popped and division(8/8) is performed     1 Next two tokens are values, so they are simply pushed. After pushing 2 and 3, the stack is as follows     1, 2, 3 When * comes, top two are popped and multiplication is performed.     1, 6",Stack,Hard,High,0.25
74,"Let S be a stack of size n &gt;= 1. Starting with the empty stack, suppose we push the first n natural numbers in sequence, and then perform n pop operations. Assume that Push and Pop operation take X seconds each, and Y seconds elapse between the end of one such stack operation and the start of the next operation. For m &gt;= 1, define the stack-life of m as the time elapsed from the end of Push(m) to the start of the pop operation that removes m from S. The average stack-life of an element of this stack is",n(X+ Y),3Y + 2X,n(X + Y)-X,Y + 2X,C,"Example: Let's n = 31  ( Pushed in Stack ) : Time take = X 2  ( Pushed in Stack ) : Time take = X 3  ( Pushed in Stack ) : Time take = X 3  ( Popped Out of Stack ) : Time take = X 2  ( Popped Out of Stack ) : Time take = X 1   ( Popped Out of Stack ) : Time take = X Stack Life of 3 = yStack Life of 2 = 3(x + y ) - xStack Life of 1 =  5(x + y ) - xAverage Stack Lifge of Element = ( Y + (3(X + Y ) - X ) + (5(X + Y ) - X) ) /3 = ( 6X + 9Y )/3 = 2X + 3YFor n= 3 the average stack life is 2X +3YSimiliarly for n elements, the average stack life will be n( X + Y ) -Y",Stack,Hard,High,0.25
75,"A single array A[1..MAXSIZE] is used to implement two stacks. The two stacks grow from opposite ends of the array. Variables top1 and top2 (topl&lt; top 2) point to the location of the topmost element in each of the stacks. If the space is to be used efficiently, the condition for “stack full” is:",(top1 = MAXSIZE/2) and (top2 = MAXSIZE/2+1),top1 + top2 + 1 = MAXSIZE,(top1= MAXSIZE/2) or (top2 = MAXSIZE),top1= top2 -1,D,If we are to use space efficiently then size of the any stack can be more than MAXSIZE/2.   Both stacks will grow from both ends and if any of the stack top reaches near to the other top then stacks are full. So the condition will be top1 = top2 -1 (given that top1 &lt; top2),Stack,Hard,High,0.25
76,"Assume that the operators +, -, × are left associative and ^ is right associative. The order of precedence (from highest to lowest) is ^, x , +, -. The postfix expression corresponding to the infix expression a + b × c - d ^ e ^ f is",abc × + def ^ ^ -,abc × + de ^ f ^ -,ab + c × d - e ^ f ^,- + a × bc ^ ^ def,B,"Start scanning from left to right.Use a stack to keep track of operators.If the scanned symbol is an operand (in this case, 'a', 'b', 'c', 'd', 'e', 'f'), append it to the postfix expression.If the scanned symbol is an operator, pop and output all operators from the stack which have equal or higher precedence than the current operator. Then push the current operator onto the stack.If the scanned symbol is an opening parenthesis '(', push it onto the stack.If the scanned symbol is a closing parenthesis ')', pop and output operators from the stack until an opening parenthesis '(' is encountered. Pop '(' from the stack (but don't output it).Repeat steps 3-6 until all symbols are scanned.Given the infix expression a + b × c - d ^ e ^ f, the corresponding postfix expression is:a b c x + d e f ^ ^ -",Stack,Hard,High,0.25
77,To evaluate an expression without any embedded function calls :&nbsp;,As many stacks as the height of the expression tree are needed,One stack is enough,Two stacks are needed,A Turing machine is needed in the general case,C,"Any expression can be converted into Postfix or Prefix form.&nbsp;Prefix and postfix evaluation can be done using a single stack.&nbsp;For example : Expression '10 2 8 * + 3 -' is given.&nbsp;PUSH 10 in the stack.&nbsp;PUSH 2 in the stack.&nbsp;PUSH 8 in the stack.&nbsp;When operator '*' occurs, POP 2 and 8 from the stack.&nbsp;PUSH 2 * 8 = 16 in the stack.&nbsp;When operator '+' occurs, POP 16 and 10 from the stack.&nbsp;PUSH 10 * 16 = 26 in the stack.&nbsp;PUSH 3 in the stack.&nbsp;When operator '-' occurs, POP 26 and 3 from the stack.&nbsp;PUSH 26 - 3 = 23 in the stack.&nbsp;So, 23 is the answer obtained using single stack.&nbsp;Thus, option (B) is correct.&nbsp;",Stack,Medium,Medium,0.25
78,The result evaluating the postfix expression 10 5 + 60 6 / * 8 –  is,284,213,142,71,C,"Step 1: Postfix Expression Evaluation RulesOperands (numbers) are pushed onto a stack.When an operator is encountered, the required number of operands is popped from the stack, the operation is performed, and the result is pushed back onto the stack.Step 2: Evaluate the ExpressionLet's evaluate step by step:Expression: 10 5 + 60 6 / ∗ 8 −Push 10: Stack = [10]Push 5: Stack = [10, 5]Encounter +: Pop 10 and 5, add them: 10+5 = 15. Push result back: Stack=[15]Push 60: Stack = [15, 60]Push 6: Stack = [15, 60, 6]Encounter /: Pop 60 and 6, divide them: 60/6=10. Push result back: Stack = [15,10]Encounter *: Pop 15 and 10, multiply them: 15×10=150. Push result back: Stack=[150]Push 8: Stack = [150, 8]Encounter -: Pop 150 and 8, subtract them: 150−8=142. Push result back: Stack=[142].Step 3: The final result in the stack is: 142",Stack,Medium,High,0.25
79,"A function f defined on stacks of integers satisfies the following properties. f(∅) = 0 and f (push (S, i)) = max (f(S), 0) + i for all stacks S and integers i. If a stack S contains the integers 2, -3, 2, -1, 2 in order from bottom to top, what is f(S)?",6,4,3,2,D,"Since a stack follows LIFO (Last In, First Out), we process elements from top to bottom:Stack (Top to Bottom): [2, -1, 2, -3, 2]Start with f(∅) = 0Push 2: f = 2Push -1: f = 2 - 1 = 1Push 2: f = 1 + 2 = 3Push -3: f = 3 - 3 = 0Push 2: f = 0 + 2 = 2Final result: 2",Stack,Hard,High,0.25
80,"Consider the following program:  
        C++
        
        #include &lt;iostream&gt;
#include &lt;cctype&gt;
#include &lt;stack&gt;

#define EOF -1

std::stack&lt;int&gt; s;

void push(int value) { s.push(value); } /* push the argument on the stack */
int pop(void) { if (s.empty()) return EOF; int value = s.top(); s.pop(); return value; }  /* pop the top of the stack */
void flagError() { std::cerr &lt;&lt; &quot;Error!&quot; &lt;&lt; std::endl; exit(1); }

int main() {
    int c, m, n, r;
    while ((c = std::cin.get()) != EOF) {
        if (isdigit(c))
            push(c - &#39;0&#39;);
        else if ((c == &#39;+&#39;) || (c == &#39;*&#39;)) {
            m = pop();
            n = pop();
            r = (c == &#39;+&#39;) ? n + m : n * m;
            push(r);
        } else if (c != &#39; &#39;)
            flagError();
    }
    std::cout &lt;&lt; pop() &lt;&lt; std::endl;
}

        
    
        C
        
        #include &lt;stdio.h&gt;
#include &lt;stdlib.h&gt;
#include &lt;ctype.h&gt;

#define EOF -1

#define MAX_STACK_SIZE 100
int s[MAX_STACK_SIZE];
int top = -1;

void push(int value) { if (top &lt; MAX_STACK_SIZE - 1) s[++top] = value; } /* push the argument on the stack */
int pop(void) { if (top == -1) return EOF; return s[top--]; }  /* pop the top of the stack */
void flagError() { fprintf(stderr, &quot;Error!\n&quot;); exit(1); }

int main() {
    int c, m, n, r;
    while ((c = getchar()) != EOF) {
        if (isdigit(c))
            push(c - &#39;0&#39;);
        else if ((c == &#39;+&#39;) || (c == &#39;*&#39;)) {
            m = pop();
            n = pop();
            r = (c == &#39;+&#39;) ? n + m : n * m;
            push(r);
        } else if (c != &#39; &#39;)
            flagError();
    }
    printf(&quot;%d\n&quot;, pop());
}

        
    
        Java
        
        import java.util.*;

public class Main {
    static Stack&lt;Integer&gt; stack = new Stack&lt;&gt;();

    static void push(int value) { stack.push(value); } /* push the argument on the stack */
    static int pop() { return stack.isEmpty() ? -1 : stack.pop(); }  /* pop the top of the stack */
    static void flagError() { System.err.println(&quot;Error!&quot;); System.exit(1); }

    public static void main(String[] args) {
        Scanner scanner = new Scanner(System.in);
        int c, m, n, r;
        while ((c = scanner.next().charAt(0)) != -1) {
            if (Character.isDigit(c))
                push(c - &#39;0&#39;);
            else if (c == &#39;+&#39; || c == &#39;*&#39;) {
                m = pop();
                n = pop();
                r = (c == &#39;+&#39;) ? n + m : n * m;
                push(r);
            } else if (c != &#39; &#39;)
                flagError();
        }
        System.out.println(pop());
    }
}

        
    
        Python
        
        class Stack:
    def __init__(self):
        self.items = []
    def push(self, item):
        self.items.append(item)  # push the argument on the stack
    def pop(self):
        return self.items.pop() if self.items else -1  # pop the top of the stack

def flagError():
    print(&quot;Error!&quot;)
    exit(1)

s = Stack()

while True:
    try:
        c = input()
        if c == &#39;&#39;:
            break
        c = ord(c)
        if c &gt;= ord(&#39;0&#39;) and c &lt;= ord(&#39;9&#39;):
            s.push(c - ord(&#39;0&#39;))
        elif c == ord(&#39;+&#39;) or c == ord(&#39;*&#39;):
            m = s.pop()
            n = s.pop()
            r = n + m if c == ord(&#39;+&#39;) else n * m
            s.push(r)
        elif c != ord(&#39; &#39;):
            flagError()
    except EOFError:
        break
print(s.pop())

        
    
        JavaScript
        
        class Stack {
    constructor() {
        this.items = [];
    }
    push(item) { this.items.push(item); } /* push the argument on the stack */
    pop() { return this.items.length === 0 ? -1 : this.items.pop(); }  /* pop the top of the stack */
}

function flagError() { console.error(&#39;Error!&#39;); process.exit(1); }

const stack = new Stack();

process.stdin.on(&#39;data&#39;, function (data) {
    const input = data.toString();
    for (let c of input) {
        if (!isNaN(c)) {
            stack.push(parseInt(c));
        } else if (c === &#39;+&#39; || c === &#39;*&#39;) {
            const m = stack.pop();
            const n = stack.pop();
            const r = (c === &#39;+&#39;) ? n + m : n * m;
            stack.push(r);
        } else if (c !== &#39; &#39;) {
            flagError();
        }
    }
});

process.stdin.on(&#39;end&#39;, function () {
    console.log(stack.pop());
});

        
    What is the output of the program for the following input ? 5 2 * 3 3 2 + * +",15,25,30,150,B,"&nbsp;The function of the program is:-1) If the current character is a digit it pushes into stack2) Else if the current character is operator,&nbsp; it pops two elements and then performs the operation.Finally it pushes the resultant element into stack.Initially stack s is empty. 5 2 * 3 3 2 + * + 1) 5 -&gt; It pushes into s 2) 2 -&gt; It pushes into s 3) * -&gt; It pops two elements n = 2, m=5 n*m = 10 It pushes 10 into s4) 3 -&gt; It pushes into s 5) 3 -&gt; It pushes into s6) 2 -&gt; It pushes into s7) + -&gt; n=2, m=3 n+m=5 It pushes 5 into s8) * -&gt; n=5, m=3 n*m=15 It pushes 15 into s 9) + -&gt; n=15, m=10 n+m = 25 It pushes 25 into s.Result = 25",Stack,Hard,High,0.25
81,Suppose a stack is to be implemented with a linked list instead of an array. What would be the effect on the time complexity of the push and pop operations of the stack implemented using linked list (Assuming stack is implemented efficiently)?,O(1) for insertion and O(n) for deletion,O(1) for insertion and O(1) for deletion,O(n) for insertion and O(1) for deletion,O(n) for insertion and O(n) for deletion,C,Stack can be implemented using link list having O(1) bounds for both insertion as well as deletion by inserting and deleting the element from the beginning of the list.,Stack,Easy,Low,0.25
82,"Consider n elements that are equally distributed in k stacks. In each stack, elements of it are arranged in ascending order (min is at the top in each of the stack and then increasing downwards). 

Given a queue of size n in which we have to put all n elements in increasing order. What will be the time complexity of the best known algorithm?",O(n logk),O(nk),O(n2),O(k2),B,"In nlogk it can be done by creating a min heap of size k and adding all the top - elements of all the stacks. After extracting the min , add the next element from the stack from which we have got our 1st minimum.
Time Complexity = O(k) (For Creating Heap of size k) + (n-k)log k (Insertions into the heap).",Stack,Hard,High,0.25
83,"A priority queue Q is used to implement a stack S that stores characters. PUSH(C) is implemented as INSERT(Q, C, K) where K is an appropriate integer key chosen by the implementation. POP is implemented as DELETEMIN(Q). For a sequence of operations, the keys chosen are in",Non-increasing order,Non-decreasing order,strictly increasing order,strictly decreasing order,E,"We are implementing a STACK using Priority Queue. Note that Stack implementation is always last in first out (LIFO) order. As given ""POP is implemented as DELETEMIN(Q)"" that means Stack returns minimum element always. So, we need to implement PUSH(C) using INSERT(Q, C, K) where K is key chosen from strictly-decreasing order(only this order will ensure stack will return minimum element when we POP an element). That will satisfy Last In First Out (LIFO) property of stack. That is answer, option (D) is true. Option (A) non-increasing order can not be true because two same (identical) numbers can not have same priority as priority should be distinguishable for each number.",Stack,Hard,High,0.25
84,"Which of the following permutation can be obtained in the same order using a stack assuming that input is the sequence 5, 6, 7, 8, 9 in that order?","7, 8, 9, 5, 6","5, 9, 6, 7, 8","7, 8, 9, 6, 5","9, 8, 7, 5, 6",D,"The sequence given in option (C) is one of the only possible sequence which can be obtained.
We can obtain the sequence by performing operations in the manner:
Push 5
Push 6
Push 7
Pop 7
Push 8
Pop 8
Push 9
Pop 9
Pop 6
Pop 5.
hence the sequence will be 7,8,9,6,5.",Stack,Hard,High,0.25
85,The best data structure to check whether an arithmetic expression has balanced parenthesis is a,Queue,Stack,Tree,List,C,"Stacks can check equal pair/ balanced pair of parenthesis efficiently. Whenever we get an opening parenthesis we can push it on the stack and when we get the corresponding closing parenthesis, we can pop it. After performing all push and pop operations, if at the end of the expression stack becomes empty then the expression has a balanced parenthesis.",Stack,Easy,Low,0.25
86,"The seven elements A, B, C, D, E, F and G are pushed onto a stack in reverse order, i.e., starting from G. The stack is popped five times and each element is inserted into a queue.Two elements are deleted from the queue and pushed back onto the stack. Now, one element is popped from the stack. The popped item is ________.",A,B,F,G,C,"In fig:-1 elements are inserted into a stack then in fig:-2 top 5 elements are popped and these 5 elements are inserted into a queue which is shown in fig:-3, now first two elements are deleted from queue and pushed into stack one by one which is shown in fig:-5.
At top of the stack element B is presented.
So, option (B) is correct.",Stack,Hard,High,0.25
87,"If the sequence of operations - push (1), push (2), pop, push (1), push (2), pop, pop, pop, push (2), pop are performed on a stack, the sequence of popped out values","2,2,1,1,2","2,2,1,2,2","2,1,2,2,1","2,1,2,2,2",B,"Let's simulate the sequence of operations on a stack:Push(1): Stack = [1]Push(2): Stack = [1, 2]Pop: Pop 2, Stack = [1]Push(1): Stack = [1, 1]Push(2): Stack = [1, 1, 2]Pop: Pop 2, Stack = [1, 1]Pop: Pop 1, Stack = [1]Pop: Pop 1, Stack = []Push(2): Stack = [2]Pop: Pop 2, Stack = []The sequence of popped out values is: 2, 2, 1, 1, 2.",Stack,Medium,High,0.25
88,"The five items: A, B, C, D, and E are pushed in a stack, one after other starting from A. The stack is popped four items and each element is inserted in a queue. The two elements are deleted from the queue and pushed back on the stack. Now one item is popped from the stack. The popped item is",A,B,C,D,E,"When five items: A, B, C, D, and E are pushed in a stack: Order of stack becomes: A, B, C, D, and E (A at the bottom and E at the top.) stack is popped four items and each element is inserted in a queue: Order of queue: B, C, D, E (B at rear and E at the front) Order of stack after pop operations = A. Two elements deleted from the queue and pushed back on the stack: New order of stack = A, E, D(A at the bottom, D at the top) As D is on the top so when pop operation occurs D will be popped out. So, correct option is (D).",Stack,Hard,High,0.25
89,Consider the following operations performed on a stack of size 5 : Push (a); Pop() ; Push(b); Push(c); Pop(); Push(d); Pop();Pop(); Push (e) Which of the following statements is correct?,Underflow occurs,Stack operations are performed smoothly,Overflow occurs,None of the above,C,"All Stack operations are performed smoothly. So, option (B) is correct.",Stack,Easy,Low,0.25
90,Which of the following is not an inherent application of stack?,Implementation of recursion,Evaluation of a postfix expression,Job scheduling,Reverse a string,D,"We can use stack for string reversal, evaluation of postfix expression and most important is implementation of recursion but job scheduling is not done by stack. So, option (C) is correct.",Stack,Easy,Low,0.25
91,Convert the following infix expression into its equivalent post fix expression (A + B^ D) / (E – F) + G,ABD^ + EF – / G+,ABD + ^EF – / G+,ABD + ^EF / – G+,ABD^ + EF / – G+,B,"(A + B^ D) / (E – F) + G
= (A + B^ D)(E – F)/ + G
=  (A + B^ D)(E – F)/G+
= A + BD^(E – F)/G+
= ABD^+EF-/G+
So, option (A) is correct.",Stack,Hard,High,0.25
92,Consider the following sequence of operations on an empty stack.Push(54);push(52);pop();push(55);push(62);s=pop(); Consider the following sequence of operations on an empty queue.enqueue(21);enqueue(24);dequeue();enqueue(28);enqueue(32);q=dequeue(); The value of s+q is ___________.,86,68,24,94,A,"Let's construct an empty stack and do the operations. Stack follows LIFO order. Push(54) // (54) Push(52) // (54,52) Pop() // (54) Push(55) //(54,55) Push(62) //(54,55,62) s=pop() // (54,55) s=62Let's construct an empty queue and do the operations. Queue follows FIFO order. Enqueue(21) // [21] Enqueue(24) // [21,24] Dequeue() // [24] Enqueue(28) // [24,28] Enqueue(32) // [24,28,32] q=Dequeue() // [28,32] q=24; s+q=62+24 So, s+q=86 .&nbsp; Alternative Way : Stack is last in first out data structure, so s = pop() = 62 Queue is first in first out data structure, so q = dequeue() = 24 Therefore, s+q = 62+24 = 86.",Stack,Medium,High,0.25
